country,iso3,staffcount,staffcity,ofac,popurban,poptotal,disasters,conflict,security,vuln,coping,emdat,usaid,oda,top25,usmigr,ctpall,ctparc,iroccash,irocpeople,irocsupp,isdstaff,ifrcoffice,fy16cbh,fy16dr,fy16measles,fyresilience,fy16od,fy16urbandp
South Africa,ZAF,5,Pretoria,0,6,5,3.5,2.2,7.8,3.9,4.6,6,9,7,6,2,0,0,0,0,0,7,0,0,0,0,0,0,10
South Korea,KOR,,,0,6,5,5.9,0.4,9.6,0.6,2,2,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
South Sudan,SDS,,,targeted,2,3,2.4,9,1,8.2,8.9,1,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
Spain,ESP,,,0,6,5,4.4,2.4,7.6,1.3,1.9,1,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,,,0,2,4,5.3,3.4,6.6,3.9,4.4,6,4,5,1,1,10,0,0,0,0,0,10,0,0,0,0,0,0
Sudan,SDN,,,comprehensive,4,5,3.5,9,1,7.1,7.3,6,7,7,1,1,10,0,0,0,10,0,10,0,0,0,0,0,0
Suriname,SUR,,,0,1,1,3,0,10,2,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0
Swaziland,SWZ,,,0,1,1,1.8,0.8,9.2,4,5.6,3,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,SWE,,,0,3,3,0.7,0.1,9.9,2.6,1.4,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,CHE,1,Geneva,0,3,2,1.8,0.9,9.1,2.1,0.9,1,1,0,7,2,0,0,0,0,0,4,10,0,0,0,0,0,0
Syria,SYR,,,comprehensive,4,4,4.4,10,0,6,5.8,3,9,9,0,2,10,0,10,0,10,0,10,0,0,0,0,0,0
Taiwan,TWN,,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,TJK,,,0,2,2,5.6,1.8,8.2,3,5.4,5,4,5,1,1,0,0,10,0,0,0,10,0,0,0,0,0,0
Thailand,THA,7,Bangkok,0,6,6,6.3,5.2,4.8,3.1,4.3,8,4,2,6,3,0,0,10,0,0,10,10,0,0,0,0,0,0
The Bahamas,BHS,1,Nassau,0,1,1,3.2,0,10,1.6,3,1,0,0,3,1,10,10,0,0,0,4,0,0,0,0,10,10,10
Togo,TGO,,,0,2,2,1.3,1.6,8.4,4.8,8.1,2,1,4,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,TON,,,0,1,1,3.5,0,10,3.9,4.9,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,TTO,5,Port of Spain,0,1,1,2.5,0.1,9.9,1.6,3.6,1,1,0,2,3,0,0,0,0,0,7,10,0,0,0,10,0,0
Tunisia,TUN,,,0,3,3,4.3,0.4,9.6,1.6,4.9,1,3,6,2,1,10,0,10,0,0,0,10,0,0,0,0,0,0
Turkey,TUR,,,0,7,6,5.9,6.7,3.3,4.9,3.3,3,5,9,6,3,10,0,10,0,0,0,0,0,0,0,0,0,0
Turkmenistan,TKM,,,0,2,2,4.5,1.3,8.7,2.4,6.5,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,TCA,,,0,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,UGA,,,0,3,5,3.1,8,2,6.1,7.1,5,8,8,2,1,0,10,10,0,0,0,0,0,0,10,0,0,0
Ukraine,UKR,2,Kieve,targeted,6,5,2.8,9,1,4.3,5.2,2,6,6,3,5,10,10,10,10,0,4,10,10,0,0,0,0,0
United Arab Emirates,ARE,,,0,3,2,5.4,0.4,9.6,1.1,2.2,1,0,0,5,1,0,0,0,0,0,0,10,0,0,0,0,0,0
United Kingdom,GBR,,,0,7,6,2.2,2,8,2.3,1.6,2,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0
United Republic of Tanzania,TZA,4,Dar-es-Salaam,0,4,5,4,1.1,8.9,5.5,6.6,5,9,9,3,1,0,0,10,10,10,7,0,10,0,10,10,10,10
United States of America,USA,,,0,9,9,7.4,5.1,4.9,2.4,2.2,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States Virgin Islands,VIR,,,0,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,URY,,,0,2,2,1.1,0.8,9.2,1.7,2.9,1,1,1,4,1,10,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,UZB,,,0,3,4,5.9,2.8,7.2,1.8,4.4,2,2,4,1,2,0,0,10,0,0,0,0,0,0,0,0,0,0
Vanuatu,VUT,,,0,1,1,5.8,0,10,4.4,6.3,1,1,2,1,1,0,0,10,10,10,0,0,0,0,10,0,0,0
Venezuela,VEN,,,targeted,5,4,5.7,0.2,9.8,3.6,4.5,2,1,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Viet Nam,VNM,12,Hanoi,0,5,7,7.3,3,7,1.9,4.6,7,6,10,4,6,10,10,10,10,0,10,10,10,0,0,10,10,0
Western Sahara,SAH,,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,YEM,,,targeted,3,4,2.7,10,0,6.5,7.9,3,7,6,1,1,10,0,0,0,0,0,10,0,0,0,0,0,0
Zambia,ZMB,,,0,3,3,2.1,1.8,8.2,5.7,6.3,4,8,7,2,1,0,0,0,0,0,0,0,0,0,0,10,0,0
Zimbabwe,ZWE,1,Victoria Falls,targeted,2,3,2.5,2.2,7.8,5.4,5.7,6,7,6,1,1,10,10,10,0,0,4,10,0,0,0,10,10,10
