country,iso3,staffcount,staffcity,ofac,popurban,poptotal,disasters,conflict,security,vuln,coping,emdat,usaid,oda,top25,usmigr,ctpall,ctparc,iroccash,irocpeople,irocsupp,isdstaff,ifrcoffice,fy16cbh,fy16dr,fy16measles,fyresilience,fy16od,fy16urbandp
Comoros,COM,,,0,1,1,0.8,0.1,9.9,5.6,7.1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,COK,,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,CRI,,,0,2,2,6.5,0.1,9.9,2.9,3,2,2,1,3,2,0,10,10,0,0,0,10,0,0,0,10,0,0
Croatia,HRV,,,0,2,2,5.3,0.1,9.9,1.3,3.2,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,CUB,,,comprehensive,3,3,5.1,2.3,7.7,1.3,3.3,6,2,2,0,7,10,0,10,0,0,0,0,0,0,0,0,0,0
Cura̤ao,CUW,,,0,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,CYP,,,0,1,1,3.6,0.1,9.9,4.3,2.5,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,CZE,,,0,3,3,2,0.4,9.6,1.4,2.3,3,1,0,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,COD,,,targeted,6,6,2.9,7,3,7.6,8.1,2,8,9,1,1,0,0,10,10,0,0,10,0,0,0,0,0,0
Denmark,DNK,,,0,2,2,0.5,0.1,9.9,1.6,1.4,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,DJI,,,0,1,1,4.5,0.5,9.5,4.7,6.8,2,2,3,1,1,10,0,0,0,0,0,0,0,0,10,0,0,0
Dominica,DMA,,,0,1,1,3.3,0,10,2.9,3.4,1,0,1,1,1,10,10,10,10,10,0,0,0,0,0,10,0,0
Dominican Republic,DOM,,,0,3,3,6.6,1,9,2,4.8,2,4,3,2,5,10,0,10,0,0,0,10,0,0,0,0,0,0
East Timor,TLS,,,0,1,1,3.5,0.3,9.7,4.6,7.3,1,4,4,0,1,0,0,0,0,0,0,10,0,0,10,0,0,0
Ecuador,ECU,,,0,3,3,7.1,0.2,9.8,3.8,4.5,3,4,3,3,4,0,0,0,0,0,0,0,0,0,0,10,10,0
Egypt,EGY,,,0,6,7,5,7,3,3.3,4.7,1,6,10,3,2,10,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,SLV,,,0,2,2,5.8,0.3,9.7,2.5,4.7,4,5,3,3,5,0,0,10,0,10,0,10,0,0,0,10,0,0
Equatorial Guinea,GNQ,,,0,1,1,1.3,0.2,9.8,3.3,7.5,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,ERI,,,0,1,2,2.9,2,8,5.6,7.9,4,1,2,1,1,0,0,0,0,0,0,10,0,0,10,0,0,0
Estonia,EST,,,0,1,1,0.9,0.1,9.9,1.2,2.2,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,ETH,,,0,4,7,3.8,6.7,3.3,6.6,7.3,7,9,10,1,2,10,0,10,0,0,0,10,0,0,10,0,0,0
Faroe Islands,FRO,,,0,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Federated States of Micronesia,FSM,,,0,1,1,3.9,0,10,4.8,6,1,6,2,0,1,0,0,10,10,10,0,0,0,0,0,0,0,0
Fiji,FJI,,,0,1,1,5.7,0.1,9.9,2.3,4.2,1,1,2,1,1,0,0,0,0,0,0,10,0,0,0,0,0,0
Finland,FIN,,,0,2,2,0.1,0.1,9.9,1.6,1.3,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
France,FRA,,,0,7,6,3.8,3.3,6.7,2.5,2,4,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,PYF,,,0,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,GAB,,,0,1,1,1.5,0.2,9.8,2.9,6.3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia,GMB,,,0,1,1,1.4,0.1,9.9,5.4,5.4,2,1,2,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,GEO,,,0,2,2,3.9,3.7,6.3,4.5,3.5,2,7,6,1,1,0,0,0,0,0,0,10,0,0,0,0,0,0
Germany,DEU,,,0,7,6,2.1,1.4,8.6,2.3,1.6,2,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,GHA,,,0,4,4,1.3,1.2,8.8,3.6,5.4,2,6,8,3,2,10,0,0,0,0,0,0,0,0,0,0,0,0
Greece,GRC,,,0,3,3,5.3,1.7,8.3,1.7,2.4,1,1,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland,GRL,,,0,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,GRD,,,0,1,1,1.8,0,10,1.9,3.8,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,10,0,0
Guam,GUM,,,0,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,GTM,,,0,3,3,6.5,1.1,8.9,5,6,5,6,5,3,4,10,0,10,0,10,0,10,0,0,0,0,0,0
Guinea,GIN,,,0,2,3,3.1,3.9,6.1,5.1,7.6,2,4,5,1,1,0,0,10,0,0,0,10,0,0,10,0,0,0
Guinea Bissau,GNB,,,0,1,1,1.7,0.6,9.4,6.6,7.9,1,1,2,1,1,0,0,0,0,0,0,0,0,0,10,0,0,0
Guyana,GUY,,,0,1,1,2.8,0.1,9.9,2.7,5.6,2,2,2,1,3,0,0,0,0,0,0,0,0,0,0,10,0,10
Haiti,HTI,200,Port-au-Prince,0,3,3,6.1,2.7,7.3,6.3,7.6,5,8,7,1,4,10,10,10,10,10,10,10,10,10,10,0,10,10
Honduras,HND,,,0,2,2,5.9,1,9,4.1,5.4,3,5,5,2,3,10,0,10,0,0,0,10,0,0,0,10,10,0
