country,iso3,disasters,conflict,vuln,coping,deploy,pop,oda,recip,isd,ifrc
Peru,PER,7.6,1.3,3.4,4.7,0,5,6,0,10,10
Philippines,PHL,8.9,7,4,4.4,10,7,2,10,10,10
Rwanda,RWA,2.9,2.2,5.9,5.4,0,3,8,0,0,0
Saint Kitts and Nevis,KNA,3.1,0,2.7,2.9,0,1,2,0,0,0
Saint Lucia,LCA,3.2,0,2.3,3.7,0,1,2,0,0,0
Saint Vincent and the Grenadines,VCT,2.4,0,2.1,3.4,0,1,1,0,0,0
Samoa,WSM,1.3,0,3.9,4.4,0,1,4,0,0,0
Sao Tome and Principe,STP,0.1,0,3.8,5.7,0,1,2,0,0,0
Senegal,SEN,2.4,2.4,5.4,6.2,3,3,9,0,7,10
Serbia,SRB,4.6,1.7,4.6,4.1,0,3,8,0,0,0
Seychelles,SYC,2.4,0,2.7,3.6,0,1,2,0,0,0
Sierra Leone,SLE,1.2,2.7,5.6,7.1,3,3,6,0,0,10
Solomon Islands,SLB,6.4,0,6.4,7,0,2,6,0,0,0
South Africa,ZAF,3.5,2.2,4,4.6,0,5,9,0,7,0
Sri Lanka,LKA,5.3,3.4,4,4.4,0,3,6,0,0,10
Suriname,SUR,3,0,2.1,5,0,2,2,0,0,0
Swaziland,SWZ,1.8,0.8,4,5.6,0,2,4,0,0,0
Tajikistan,TJK,5.6,1.8,3,5.4,0,3,6,0,0,10
Tanzania,TZA,4,1.1,5.5,6.6,3,5,10,0,7,0
Thailand,THA,6.3,5.2,3.2,4.3,0,5,2,0,10,10
Timor-Leste,TLS,3.5,0.3,4.6,7.3,0,2,6,0,0,10
Togo,TGO,1.3,1.6,4.9,8.1,0,3,4,0,0,0
Tonga,TON,3.5,0,3.9,4.9,0,1,2,0,0,0
Tunisia,TUN,4.3,0.4,1.7,4.9,0,3,8,0,0,10
Turkey,TUR,5.9,6.7,4.9,3.3,0,5,10,0,0,0
Turkmenistan,TKM,4.5,1.3,2.4,6.5,0,3,2,0,0,0
Tuvalu,TUV,2,0,5.2,5.6,0,1,2,0,0,0
Uruguay,URY,1.1,0.8,1.9,2.9,0,2,2,0,0,0
Uzbekistan,UZB,5.9,2.8,1.8,4.4,0,5,6,0,0,0
Vanuatu,VUT,5.8,0,4.4,6.3,3,1,2,0,0,0
Venezuela,VEN,5.7,0.2,3.7,4.5,0,5,2,0,0,0
Viet Nam,VNM,7.3,3,1.9,4.6,3,7,10,0,10,10
Zambia,ZMB,2.1,1.8,5.7,6.3,0,3,9,0,0,0
Zimbabwe,ZWE,2.5,2.2,5.4,5.7,0,3,8,0,4,10
